hash_transaction,time,indegree,outdegree,in_btc,out_btc,total_in,total_out,mean_in_btc,mean_out_btc,senders,receivers,fee_btc,unique_senders,unique_receivers,is_self_churn,sender_entropy,receiver_entropy,hour,day_of_week,total_btc,anomaly
c67558ffdf7d4262487e30fc0cee365ed35abd60955f20dccb88000633aaa4bc,2025-08-27 13:19:36,1.0,2.0,[0.01329757],"[0.00449936, 0.00877067]",0.013297569999999759,0.013270030000000155,0.013297570000000203,0.006635015000000077,['bc1qecx5ts0dxxdra9wrv0ppdztl0dtjhmk54uh7du'],"['1A3E2T6o8N2GXpMhjcfBEB6ApLTB2oJy98', 'bc1qxz9d0r3dwe8kwgxech7dxck56ks00j96jv6kqs']",2.754e-05,1,2,False,0.0,1.0,13,Wednesday,0.026567599999999914,0
f07a11a9c24401605efc08dfb0412438851abf38357a9b1cf99e9d3405b52e4f,2025-08-27 13:30:13,1.0,3.0,[0.00080625],"[0.0001, 0.000226, 0.00044725]",0.0008062500000001194,0.0007732499999999476,0.0008062500000001194,0.0002577499999998345,['bc1q6tzzh53ykte4vdzaxse8krr6h84nllsc3lelcy'],"['3MokaUgANx7wRkEUeBYEiE1VvZ8kkZVmUF', 'bc1qzeg756dk3tqu5q2pqey42xm4kc05eav5qphp0t', 'bc1q6tzzh53ykte4vdzaxse8krr6h84nllsc3lelcy']",3.3e-05,1,3,False,0.0,1.585,13,Wednesday,0.001579500000000067,0
b3bfef934825867b8380e219a4725eca3e212d53cb0cb1946d7cdc0eecfd3386,2025-08-27 13:39:44,2.0,1.0,"[0.00151186, 0.00047405]",[0.00195],0.001985910000000146,0.0019499999999998963,0.000992955000000073,0.0019499999999998963,"['bc1qjyq8ckj3xxsafje44jh0dnrs8cs0jvs5xn7dgu', 'bc1q2nf46am8jzzkqvzkqaady4yll99f0krjgff50l']",['bc1q7n9nehpztcjkm46qwueyy80jpycgqk8m5qg80hqw5ljh8vs4t35qpxpn9q'],3.591e-05,2,1,False,1.0,1.1102230246251565e-16,13,Wednesday,0.003935909999999154,0
32dde6ee05c39fabc83fb0306ccb300b9309e7a0369fb19f635cd5977fd8eedb,2025-08-27 13:23:29,2.0,2.0,"[0.00016751, 0.01258097]","[2.703e-05, 0.01268167]",0.012748479999999951,0.012708700000000128,0.0063742399999999755,0.006354350000000064,"['bc1q8p9yrkx0c7uz0lyut9w0vwp57xj8m0xes4uxqm', 'bc1q8p9yrkx0c7uz0lyut9w0vwp57xj8m0xes4uxqm']","['bc1q8p9yrkx0c7uz0lyut9w0vwp57xj8m0xes4uxqm', '18Tf8w1beYeokK11RABivK4NHZDRTXHeoR']",3.978e-05,1,2,False,0.0,1.0,13,Wednesday,0.02545718000000008,0
b0c3cdca2274faafa56aaf1154853941d3cab6da1016fb5a4e51ea9da0ea3347,2025-08-27 13:19:40,1.0,2.0,[0.03535304],"[0.0009245, 0.034415]",0.03535304000000039,0.03533950000000008,0.03535303999999995,0.01766975000000004,['bc1qs4zcv5qg9vgmx6gvlv9a4jmzgp8xjekpu5wfsw'],"['bc1qqwthu57uv7nnan9vdgctzae24wcurzdwfqm5pu', 'bc1qs4zcv5qg9vgmx6gvlv9a4jmzgp8xjekpu5wfsw']",1.354e-05,1,2,False,0.0,1.0,13,Wednesday,0.07069253999999958,0
31c8f3a623ea5e1f2b759c1115fcd52117580c3228f68dc8aba51bfc08e2f648,2025-08-27 13:26:59,1.0,1.0,[0.0009245],[0.00089088],0.0009244999999999948,0.0008908800000000383,0.0009244999999999948,0.0008908800000000383,['bc1qqwthu57uv7nnan9vdgctzae24wcurzdwfqm5pu'],['1D6vhoBUgMaCnMEfAyxE1q43UQB32t6xC1'],3.362e-05,1,1,False,0.0,1.1102230246251565e-16,13,Wednesday,0.001815380000000033,0
3f610d0dabc5ca98f2a2938bdc7de90430b37886e58b2c59d71fc9ec40628587,2025-08-27 13:33:47,1.0,2.0,[0.00126797],"[0.00119585, 4.493e-05]",0.001267969999999785,0.0012407799999998304,0.001267969999999785,0.0006203899999999152,['bc1q7gpp23nnyyhlwstxrs6deryu0kc6fcn57ljk87'],"['1HHvkUzxGM22d98QorQQv75fnT4jZ1xC68', '16DrsPzXG8aaj8EJ5M3SJWJ1jWXdL4Dmqa']",2.719e-05,1,2,False,0.0,1.0,13,Wednesday,0.0025087500000005036,0
9142c9bd9d9ea004ed10c7cb0e2755f4746fc29de66ec52e558c5c9eab6ed81b,2025-08-27 13:48:51,2.0,4.0,"[5.46e-06, 0.01146924]","[0.0, 5.46e-06, 5.46e-06, 0.01141181]",0.011474699999999949,0.011422729999999603,0.005737349999999974,0.002855682499999901,"['bc1pk8g4rztfkxs2q9c40g6keeknjw6aadx3kzu4suzlll0remfw7xxs5x9ctv', 'bc1pqdtrwkjwdutzs5z8f75gc5srhcwewx4u77pdnumc0fh7l47aanqqa8n4da']","['bc1pk8g4rztfkxs2q9c40g6keeknjw6aadx3kzu4suzlll0remfw7xxs5x9ctv', 'bc1pr7srpkr0zpph024gasm672w6svuh030589eqaypuzndre9tpkx5q2s8l4d', 'bc1pqdtrwkjwdutzs5z8f75gc5srhcwewx4u77pdnumc0fh7l47aanqqa8n4da']",5.197e-05,2,3,False,1.0,1.585,13,Wednesday,0.02289743000000044,0
3eecb88b21f5b7c00a67cc3f00443ed405b6983718673d2a89ee977a2fe3267d,2025-08-27 13:31:19,1.0,1.0,[0.00202011],[0.002],0.0020201100000001304,0.0019999999999997797,0.0020201100000001304,0.0019999999999997797,['bc1q9g7a4wev36lm82760f54srnv56le7j43rp6yld'],['bc1q0sw0ramu29wp77ax695rkxwuqg2uvqswz0r04t'],2.011e-05,1,1,False,0.0,1.1102230246251565e-16,13,Wednesday,0.004020110000000798,0
323a6176fb3652d82288a341fe9c2bfc1e0c7ed27b60d94eb08d2bcc24c5a08a,2025-08-27 13:54:47,1.0,2.0,[0.00648378],"[0.00153773, 0.00492037]",0.006483779999999939,0.006458099999999689,0.006483779999999939,0.0032290499999998445,['bc1qplnrs87exk46wcklgkkghlj4h0s8e73axurhdx'],"['bc1qngzam0cezm7vhc2s28dnz506vc3c0e5vh5zgyv', 'bc1qaluy5ycy7cpcupkrw220cg5t5p7eyaldehhtjs']",2.568e-05,1,2,False,0.0,1.0,13,Wednesday,0.012941879999999628,0
86bf70818ce48efb7ff9db2f2f28838a683211f6f9e9fd149ad43e7c18d5dc84,2025-08-27 13:54:24,1.0,3.0,[0.09324063],"[8.199e-05, 9e-05, 0.09303304]",0.09324063000000038,0.09320503000000002,0.09324062999999994,0.031068343333333193,['3GHKde13vgwWCLTSzFjoDoGNkuW82WU4eD'],"['bc1q0768vezlj22m5zcmg3p5e5ddmkqx6pcqtkg70k', 'bc1qzgzxguzl7z45v3wyh00s2ec78cq42zqtsrn39y', '3GHKde13vgwWCLTSzFjoDoGNkuW82WU4eD']",3.56e-05,1,3,False,0.0,1.585,13,Wednesday,0.1864456600000004,0
a886ae8df7fea45ee16af88d12aa2b6b3631db24b83176ea1555d65bbdaf0c34,2025-08-27 13:52:21,1.0,1.0,[8.255e-05],[6.262e-05],8.255000000012558e-05,6.261999999956913e-05,8.255000000012558e-05,6.262000000001322e-05,['bc1qzjl9pus4csa79j5nqhu74g25y4x00628axwyau'],['bc1qm9r8w2c3ek6rkds4fwshwuruw9lx3q0mjlzs3t'],1.993e-05,1,1,False,0.0,1.1102230246251565e-16,13,Wednesday,0.0001451699999996947,0
c3c702b36fb050b13da62718eeea068c9feb7d1d5f061fdaba2dc0e3bd73b9c3,2025-08-27 13:54:24,1.0,3.0,[0.03677785],"[0.00053056, 0.00012333, 0.03608836]",0.03677785,0.03674224999999964,0.03677785,0.012247416666666844,['35G8w2uNKtQ2xNPPHRSVjDebuqhKmcTUNc'],"['38vBgbvzhxV8oeE4NrdjksWaFnQ2g8JeHb', 'bc1qa5lt0tvlu268t5cpr40c2qfkcjq0hcwqca7gnn', '3H9WXKYPqq4xo3ahuQvEDcDJBgFJcxGLpJ']",3.56e-05,1,3,False,0.0,1.585,13,Wednesday,0.07352009999999964,0
7a18a9c4bcffe6ace79fae54ad6fbad8b5398ccea2ddb06e8fcbbf28071f87c3,2025-08-27 13:25:22,1.0,2.0,[0.20945152],"[4.823e-05, 0.20936318]",0.20945152,0.2094114100000004,0.20945151999999956,0.1047057050000002,['1KXa8ENkB3Tk3vupRnQaTvb136RqRAHKsh'],"['bc1qalc7kaej7f4r5v4h026x2w8sect54666jxu449', '1KXa8ENkB3Tk3vupRnQaTvb136RqRAHKsh']",4.011e-05,1,2,False,0.0,1.0,13,Wednesday,0.4188629299999995,0
e6101f583f229516142ae90918415c20e39ddbfd988d2dc777ee12ca21401141,2025-08-27 13:26:05,1.0,2.0,[0.20936318],"[8.083e-05, 0.20924224]",0.20936318000000043,0.20932306999999994,0.20936317999999998,0.1046615350000002,['1KXa8ENkB3Tk3vupRnQaTvb136RqRAHKsh'],"['bc1q4ufzxq6hzzga8ame3avx5v0j0qkeyrvq68elny', '1KXa8ENkB3Tk3vupRnQaTvb136RqRAHKsh']",4.011e-05,1,2,False,0.0,1.0,13,Wednesday,0.41868625000000037,0
d0cefd6a772bf7cfab222c8232bea1c68d5ae36e83a9246a111887bb3ed6d816,2025-08-27 13:44:43,2.0,2.0,"[69.48204715, 139.2222183]","[187.0, 21.70422765]",208.70426545,208.70422765,104.352132725,104.352113825,"['bc1q9exg34dkmgxu28yektgn929jpjpzukhhl2r3zr', 'bc1q9exg34dkmgxu28yektgn929jpjpzukhhl2r3zr']","['38kFfa7vgCYNdQMcWuBKnHcbDc4VTZWKAU', 'bc1q9exg34dkmgxu28yektgn929jpjpzukhhl2r3zr']",3.78e-05,1,2,False,0.0,1.0,13,Wednesday,417.4084931,1
0e7bda603d2279c7b9202e575c5329159d3f4499be405ecb25e6e5afc8a55641,2025-08-27 13:38:39,1.0,1.0,[0.00046923],[0.00044994],0.0004692300000002092,0.00044994000000020407,0.0004692300000002092,0.00044994000000020407,['bc1q97sh52cyts09qdrz4cw8z9634564qcqlwv4565'],['bc1q8tsam4eta33vf6t3lac7tvu20qfu8htdzx524h'],1.929e-05,1,1,False,0.0,1.1102230246251565e-16,13,Wednesday,0.0009191699999995251,0
